LANGUAGE,English
Section [Tasks]
STR_Sp2s1r1,"Wolf, could you give us a hand? Our supply truck broke and contains some valuable content. Could you check it with an engineer? Sending coordinates. Over "
STR_Sp2s1r2,"Roger that. I will see if we could help you with that. Out"
STR_Sp2s1r3,"Wolf here. We got the truck running again. Bringing this to closest camp. Over"
STR_Sp2s1r4,"Thank you for helping us, Wolf. Out"

STR_Sp2s1r5,"Wolf, we have spotted a possible camoflage-net with some vehicle inside, possible tank and hostiles. Could you head there and take it out? Sending coordinates. Over"
STR_Sp2s1r6,"Understood, we will check it out and report back. Out"
STR_Sp2s1r7,"Wolf here, we found and disabled the enemy tank. Over"
STR_Sp2s1r8,"Superb work, Wolf. Out"

STR_Sp2s1r9,"Wolf, there is an enemy AA-vehicle parked possible hostile force, numbers are unknown at this time. Could you head there and take it out? Sending coordinates. Over"
STR_Sp2s1r10,"Understood, we will head to the AO and disable it if possible. Out"
STR_Sp2s1r11,"Wolf here, we have found and disabled enemy AA-vehicle. Over"
STR_Sp2s1r12,"Excellent work, Wolf. Out"

 Section [Support]
STR_Sp1s1r1,"Wolf to Base, we need immediate air support. How Copy?"
STR_Sp1s1r2,"Understood, Wolf. I am sending air support your way ETA few minutes. Out"
STR_Sp1s1r3,"Eagle to Wolf. Hold your hats, we are entering the AO. Over"
STR_Sp1s1r4,"Eagle to Wolf. We need to pull back to base. Good luck out there. Over"
STR_Sp1s1r5,"Wolf to Base, we are in trouble. Any land support available? Over"
STR_Sp1s1r6,"Wolf, we are entering the AO. Over"
STR_Sp1s1r7,"Wolf to Base, we need some equiptment. How Copy?"
STR_Sp1s1r8,"Understood, Wolf. Equiptment inbound, ETA few minutes. Out"
	Section [Help Civilians]
STR_Sp8s4v1,"Civilian: Thank you! you saved my life. I will remember this"
STR_Sp8s4v2,"Civilian: Thank you for saving my life, they already killed many of us"
STR_Sp8s4v3,"Civilian: Thank you! I was ready to die."
STR_Sp8s4v4,"Civilian: Thank you! Those bastards killed half of the village!"

Section [Counter Attack] 
STR_Sp8t1r1,"Bad news Wolf, OPFor is preparing a counterattack to take your camp back. Over"
STR_Sp8t1r1a,"Wolf,OPFor is moving towards your camp. Looks like a counterattack. Out"
STR_Sp8t1r1b,"Wolf, hold your position. OPFor is heading your way with more units. Out"
STR_Sp8t1r1c,"Wolf, we have Intel of OPFor preparing counterattack on your camp. Support if you can. Out"
STR_Sp8t1r2,"Thank you, Wolf. I heard things went well there. Out"
STR_Sp8t1r2a,"Good work there with holding the camp, Wolf. OPFor should be weaker for some time. Out"
STR_Sp8t1r2b,"Excellent! CSAT forces are withdrawing from the camp, they should be less of a threat for a while. Out"
STR_Sp8t1r3,"You did your best there wolf, we will take that camp back soon. Out"
STR_Sp8t1r3a,"Damn it, CSAT damaged our lines. We should be able to fix that in about 15 minutes. Our forces are a little disorganized in the area. Out"
STR_Sp8t1r3b,"Seems like CSAT got the camp. We should be able to launch a counter attack soon. Out"
STR_Sp8t1r4,"CSAT is moving towards the camp! Good luck out there. Out"
STR_Sp8t1r4a,"The camp is under attack! Any units nearby? Requesting support. Out"
STR_Sp8t1r4b,"The enemy is assaulting our camp now. Doesnt look good. Requesting support, Out	"
	Section [Random Defend] 
STR_Sp8t2r1,"Wolf, we could use your help. Our units are under attack, coordinates to follow. If you hear this and are close enough, please help them. Over"
STR_Sp8t2r1a,"Wolf, persians are moving towards one of our camps with a few vehicles and infantry. Join the party if you are close enough. Out"
STR_Sp8t2r1b,"Wolf, information is coming in that CSAT forces are preparing to overrun one of our camps. Requesting assistance if you can. Out"
